CPF rév. 2.1, 2015 - Niveau 6 - Liste des sous-catégories;
28.29.32;Balances de ménage et pèse-personnes
28.29.39;Autres appareils de pesage et de mesurage
28.29.41;Centrifugeuses n.c.a.
28.29.42;Calandres et autres laminoirs, à l'exclusion de ceux pour le métal et le verre
28.29.43;Machines automatiques de vente de produits
28.29.50;Machines à laver la vaisselle de type industriel
28.29.60;Matériel n.c.a. pour le traitement de matériaux fonctionnant sur la base d'une différence de température
28.29.70;"Matériel non électrique pour le soudage et le brasage et ses parties ; matériel pour la trempe superficielle fonctionnant au gaz"
28.29.81;Parties de générateurs de gaz
28.29.82;"Parties de centrifugeuses ; parties d'appareils de filtration et d'épuration des liquides et des gaz"
28.29.83;"Parties d'appareils de calandrage ou de laminage ; parties de matériel de pulvérisation, poids pour appareils de pesage"
28.29.84;Parties de machines sans connecteurs électriques n.c.a.
28.29.85;Pièces de machines à laver la vaisselle et d'équipements de nettoyage, remplissage, emballage ou conditionnement
28.29.86;Parties de matériel non électrique pour le soudage et le brasage et de matériel pour la trempe superficielle fonctionnant au gaz
28.29.99;Opérations sous-traitées intervenant dans la fabrication d'autres machines d'usage général n.c.a.
28.30.10;Motoculteurs
28.30.21;Tracteurs d'une puissance inférieure ou égale à 37 kw
28.30.22;Tracteurs d'une puissance comprise entre 37 kw et 59 kw
28.30.23;Tracteurs d'une puissance supérieure à 59 kw
28.30.31;Charrues
28.30.32;Herses, scarificateurs, cultivateurs, herses à dents et motohoues
28.30.33;Semoirs, plantoirs et repiqueurs
28.30.34;Épandeurs de fumier et distributeurs d'engrais
28.30.39;Autre matériel pour le travail du sol
28.30.40;Tondeuses à gazon
28.30.51;Faucheuses (y compris barres de coupe à monter sur un tracteur) n.c.a.
28.30.52;Appareils de fenaison
28.30.53;Ramasseuses-presses
28.30.54;Matériel pour la récolte des racines et tubercules
28.30.59;Matériel de récolte et de battage n.c.a.
28.30.60;Pulvérisateurs et poudreuses agricoles et horticoles
28.30.70;Remorques autochargeuses et autodéchargeuses et semi-remorques agricoles
28.30.81;Matériel de nettoyage, tri et criblage des œufs, des fruits ou d'autres produits agricoles, à l'exclusion des graines, grains ou légumes secs
28.30.82;Machines à traire
28.30.83;Matériel pour la préparation des aliments pour animaux
28.30.84;Incubateurs et couveuses
28.30.85;Matériel d'aviculture
28.30.86;Matériel agricole, horticole, forestier, avicole et apicole n.c.a.
28.30.91;Parties de matériel de récolte et de battage n.c.a.
28.30.92;Parties de matériel pour le travail du sol
28.30.93;Parties d'autre matériel agricole
28.30.94;Parties de matériel de laiterie n.c.a.
28.30.99;Opérations sous-traitées intervenant dans la fabrication de machines agricoles et forestières
28.41.11;Machines-outils d'usinage des métaux opérant par enlèvement de matière par laser, ultrasons, jet d'eau et procédés similaires
28.41.12;Centres d'usinage, machines à poste fixe et machines à stations multiples, pour l'usinage des métaux
28.41.21;Tours opérant par enlèvement de métal
28.41.22;"Perceuses, aléseuses, fraiseuses pour l'usinage des métaux ; machines à fileter ou à tarauder n.c.a."
28.41.23;Machines à ébarber, affûter, meuler et autres machines-outils de finition des métaux
28.41.24;Machines à raboter, scier, tronçonner et autres machines-outils travaillant par enlèvement de métal
28.41.31;Machines à rouler, cintrer, plier ou dresser les métaux
28.41.32;Machines à poinçonner ou gruger les métaux
28.41.33;"Machines à forger ou à estamper et marteaux-pilons ; presses hydrauliques et presses pour l'usinage des métaux n.c.a."
28.41.34;Machines-outils n.c.a. pour l'usinage des métaux, carbures métalliques frittés ou cermets, opérant sans enlèvement de matière
28.41.40;Parties et accessoires de machines-outils à métaux
28.41.99;Opérations sous-traitées intervenant dans la fabrication de machines de formage des métaux
28.49.11;Machines-outils pour le travail de la pierre, des produits céramiques, du béton ou de matériaux minéraux similaires ou pour le travail à froid du verre
28.49.12;"Machines-outils pour le travail du bois, du liège, de l'os, du caoutchouc durci, des matières plastiques dures ou de matériaux durs similaires ; machines d'électrodéposition"
28.49.13;Machines de forage rotatives par percussion, limeuses, riveteuses, machines à découper les feuilles de métal
28.49.21;Porte-outils et filières à déclenchement automatique, pour machines-outils
28.49.22;Porte-pièces, pour machines-outils
28.49.23;Plateaux diviseurs et autres dispositifs spéciaux se montant sur machines-outils
28.49.24;Parties et accessoires pour machines-outils pour le travail du bois, du liège, de l'os, du caoutchouc durci ou de matériaux durs similaires
28.49.99;Opérations sous-traitées intervenant dans la fabrication d'autres machines-outils
28.91.11;"Convertisseurs, poches de coulée, lingotières, machines à couler ; laminoirs à métaux"
28.91.12;"Parties de machines pour la métallurgie ; parties de laminoirs à métaux"
28.91.99;Opérations sous-traitées intervenant dans la fabrication de machines pour la métallurgie
28.92.11;Élévateurs, transporteurs et convoyeurs continus, pour mines
28.92.12;"Haveuses, abatteuses et tunneliers ; autres matériels de forage et d'abattage"
28.92.21;Bouteurs et bouteurs-biais autopropulsés
28.92.22;"Niveleuses et profileurs autopropulsés ; décapeuses autopropulsées"
28.92.23;Compacteuses et rouleaux compresseurs autopropulsés
28.92.24;Chargeuses-pelleteuses frontales autopropulsées
28.92.25;Pelles mécaniques, excavateurs et chargeuses-pelleteuses rotatifs autopropulsés dont la superstructure peut effectuer une rotation de 360°, à l'exclusion des chargeuses-pelleteuses frontales
28.92.26;"Autres pelles mécaniques, excavateurs et chargeuses-pelleteuses autopropulsés ; autres matériels de mines autopropulsés"
28.92.27;Lames pour bouteurs et bouteurs-biais
28.92.28;Tombereaux automoteurs
28.92.30;Autres matériels de travaux publics
28.92.40;Machines à trier, broyer, mélanger la terre, la pierre, les minerais et d'autres substances minérales
28.92.50;Tracteurs de chantier
28.92.61;"Parties de machines de forage, havage ou excavation ; parties de grues"
28.92.62;Parties de machines à trier, broyer, mélanger la terre, la pierre et d'autres substances similaires
28.92.99;Opérations sous-traitées intervenant dans la fabrication de machines pour l'extraction ou la construction
28.93.11;Écrémeuses
28.93.12;Machines et appareils de laiterie
28.93.13;Machines et appareils pour la minoterie ou le traitement des céréales ou légumes secs n.c.a.
28.93.14;Machines et appareils pour la préparation du vin, du cidre, des jus de fruits ou de boissons similaires
28.93.15;"Fours de boulangerie non électriques ; matériels de cuisson ou de torréfaction non domestiques"
28.93.16;Séchoirs agroalimentaires
28.93.17;Machines et appareils pour l'industrie agroalimentaire
28.93.18;Machines et appareils pour la préparation du tabac n.c.a.
28.93.20;Machines pour le nettoyage, le tri ou le criblage des grains ou des légumes secs
28.93.31;Parties de machines pour la préparation de boissons
28.93.32;Parties de machines pour l'industrie alimentaire
28.93.33;Parties de machines pour la préparation du tabac
28.93.34;Parties de machines pour le nettoyage, le tri ou le criblage des grains ou des légumes secs
28.93.99;Opérations sous-traitées intervenant dans la fabrication de machines pour l'industrie agroalimentaire
28.94.11;"Machines pour le filage (extrusion), l'étirage, la texturation ou le tranchage des matières textiles synthétiques ou artificielles ; machines pour la préparation des fibres textiles"
28.94.12;"Métiers à filer ; machines pour le doublage, le retordage, le bobinage ou le dévidage"
28.94.13;Métiers à tisser
28.94.14;"Machines et métiers à tricoter ; machines de couture-tricotage et machines similaires ; machines à touffeter"
28.94.15;"Machines et matériels auxiliaires pour l'industrie textile ; machines à imprimer les textiles"
28.94.21;"Machines pour le lavage, le nettoyage, l'essorage, le repassage, le pressage, la teinture, l'enroulage et autres opérations similaires des fils et textiles ; machines pour la finition du feutre"
28.94.22;"Machines à laver de type industriel ; machines pour le nettoyage à sec ; machines à sécher d'une capacité supérieure à 10 kg"
28.94.23;Essoreuses à linge
28.94.24;Machines à coudre industrielles
28.94.30;Machines pour le travail du cuir ou pour la fabrication ou réparation de chaussures ou autres
28.94.40;Machines à coudre de type ménager
28.94.51;Parties et accessoires de machines de filature, tissage et tricotage
28.94.52;Parties d'autres machines pour l'industrie textile et la confection
28.94.99;Opérations sous-traitées intervenant dans la fabrication de machines pour les industries textiles
28.95.11;Machines pour les industries du papier et du carton, à l'exclusion de leurs parties
28.95.12;Parties de machines pour les industries du papier et du carton
28.95.99;Opérations sous-traitées intervenant dans la fabrication de machines pour les industries du papier et du carton
28.96.10;Machines n.c.a. pour le travail du caoutchouc ou des matières plastiques et pour la fabrication d'articles en ces matières
28.96.20;Parties de machines n.c.a. pour le travail du caoutchouc ou des matières plastiques et pour la fabrication d'articles en ces matières
28.96.99;Opérations sous-traitées intervenant dans la fabrication de machines pour le travail du caoutchouc ou des matières plastiques
28.99.11;Machines pour le brochage et la reliure, y compris machines à coudre les feuillets
28.99.12;Machines pour la composition ou pour la préparation de clichés ou plaques
28.99.13;Machines d'impression offset, à l'exclusion des machines offset de bureau
28.99.14;Autres machines d'impression, à l'exclusion des machines de bureau
28.99.20;Machines et appareils utilisés uniquement ou principalement pour fabriquer des barreaux ou plaquettes de semi-conducteurs, des dispositifs à semi-conducteur, des circuits intégrés électroniques ou des écrans plats
28.99.31;"Séchoirs à bois, pâte à papier, papier et carton ; séchoirs industriels n.c.a."
28.99.32;Manèges, balançoires, stands de tir et autres attractions foraines
28.99.39;"Dispositifs de lancement d'aéronefs ; dispositifs d'appontage ou dispositifs similaires ; équipements d'équilibrage de pneumatiques ; machines d'usage spécifique n.c.a."
28.99.40;Parties de machines d'imprimerie et de machines pour le brochage et la reliure
28.99.51;Parties de machines et d'appareils utilisés uniquement ou principalement pour fabriquer des barreaux ou plaquettes de semi-conducteurs, des dispositifs à semi-conducteur, des circuits intégrés électroniques ou des écrans plats
28.99.52;Parties de machines d'usage spécifique n.c.a.
28.99.99;Opérations sous-traitées intervenant dans la fabrication d'autres machines d'usage spécifique n.c.a.
29.10.11;Moteurs à explosion pour véhicules, d'une cylindrée inférieure ou égale à 1 000 cm³
29.10.12;Moteurs à explosion pour véhicules, d'une cylindrée supérieure à 1 000 cm³
29.10.13;Moteurs diesels pour véhicules
29.10.21;Voitures particulières à moteur à explosion d'une cylindrée inférieure ou égale à 1 500 cm³, neuves
29.10.22;Voitures particulières à moteur à explosion d'une cylindrée supérieure à 1 500 cm³, neuves
29.10.23;Voitures particulières à moteur diesel, neuves
29.10.24;Autres voitures particulières
29.10.30;Autobus et autocars
29.10.41;Véhicules utilitaires à moteur diesel, neufs
29.10.42;Véhicules utilitaires à moteur à explosion et autres véhicules utilitaires, neufs
29.10.43;Tracteurs routiers pour semi-remorques
29.10.44;Châssis complets de véhicules automobiles
29.10.51;Camions-grues
29.10.52;Véhicules à moteur pour le transport sur la neige, les terrains de golf et similaires
29.10.59;Véhicules utilitaires à usages spéciaux n.c.a.
29.10.99;Opérations sous-traitées intervenant dans la fabrication de véhicules automobiles
29.20.10;Carrosseries automobiles
29.20.21;Conteneurs conçus spécialement pour un ou plusieurs modes de transport
29.20.22;Remorques et semi-remorques de type caravane
29.20.23;Autres remorques et semi-remorques
29.20.30;Parties de remorques, semi-remorques et autres véhicules, sans propulsion mécanique
29.20.40;Travaux de reconditionnement, de montage, d'équipement et de carrosserie de véhicules automobiles
29.20.50;Aménagement et équipement de caravanes et d'autocaravanes
29.20.99;Opérations sous-traitées intervenant dans la fabrication de carrosseries automobiles et de remorques et semi-remorques
29.31.10;Faisceaux d'allumage et autres jeux de fils pour véhicules, avions et bateaux
29.31.21;"Bougies d'allumage ; magnétos d'allumage ; magnétos-dynamos ; volants magnétiques ; distributeurs ; bobines d'allumage"
29.31.22;"Démarreurs et démarreurs-alternateurs ; autres générateurs et équipements"
29.31.23;Appareils électriques de signalisation, essuie-glaces, systèmes de dégivrage et de désembuage pour véhicules automobiles et motocycles
29.31.30;Parties d'équipements électriques pour véhicules automobiles et motocycles
29.31.99;Opérations sous-traitées intervenant dans la fabrication d'équipements électriques et électroniques automobiles
29.32.10;Sièges pour véhicules automobiles
29.32.20;Ceintures de sécurité, airbags et parties et accessoires de carrosseries
29.32.30;Parties et accessoires n.c.a. pour véhicules automobiles
29.32.91;Assemblage sous-traité de sous-ensembles complets de véhicules automobiles
29.32.92;Assemblage de parties et accessoires pour véhicules automobiles n.c.a.
29.32.99;Opérations sous-traitées intervenant dans la fabrication d'autres parties et accessoires pour véhicules automobiles
30.11.10;Bâtiments de guerre
30.11.21;"Paquebots, bateaux de croisière et vaisseaux similaires pour le transport de passagers ; transbordeurs de tous types"
30.11.22;Pétroliers, chimiquiers, méthaniers et autres navires-citernes
30.11.23;Bateaux frigorifiques, à l'exclusion des navires-citernes
30.11.24;Cargos secs
30.11.31;"Bateaux de pêche ; navires-usines et autres bateaux équipés pour la transformation et la conservation des produits de la pêche"
30.11.32;Remorqueurs et pousseurs
30.11.33;"Dragueurs ; bateaux-phares, bateaux-grues ; autres bateaux"
30.11.40;Plates-formes de forage en mer
30.11.50;Autres structures flottantes (y compris radeaux, caissons, batardeaux, pontons flottants, bouées et balises)
30.11.91;Transformation et reconstruction de navires et de plates-formes et structures flottantes
30.11.92;Équipement de navires et de plates-formes et structures flottantes
30.11.99;Opérations sous-traitées intervenant dans la fabrication de navires et structures flottantes
30.12.11;Bateaux de plaisance à voile (à l'exclusion des bateaux pneumatiques), avec ou sans moteur auxiliaire
30.12.12;Bateaux de plaisance pneumatiques
30.12.19;"Autres bateaux de plaisance ; bateaux à rames et canoës"
30.12.99;Opérations sous-traitées intervenant dans la fabrication de bateaux de plaisance
30.20.11;Motrices électriques
30.20.12;Motrices diesels
30.20.13;"Autres motrices ; tenders"
30.20.20;Automotrices, à l'exclusion des véhicules d'entretien ou de service
30.20.31;Véhicules d'entretien et de service des voies
30.20.32;"Voitures de voyageurs remorquées ; fourgons à bagages et autres voitures spécialisées"
30.20.33;Wagons de marchandises remorqués
30.20.40;"Parties de matériel de traction et de matériel roulant ; châssis et accessoires et leurs parties ; équipements de contrôle mécaniques"
30.20.91;Reconditionnement et équipement de matériel ferroviaire roulant
30.20.99;Opérations sous-traitées intervenant dans la fabrication de matériel ferroviaire roulant
30.30.11;Moteurs à explosion pour avions
30.30.12;Turbopropulseurs et turboréacteurs
30.30.13;Propulseurs à réaction, à l'exclusion des turbopropulseurs
30.30.14;Simulateurs de vol pour entraînement au sol et leurs parties
30.30.15;Parties de moteurs à explosion pour avions
30.30.16;Parties de turbopropulseurs et turboréacteurs
30.30.20;"Ballons et dirigeables ; planeurs, ailes delta et autres aéronefs sans moteur"
30.30.31;Hélicoptères
30.30.32;Avions et autres aéronefs, d'un poids à vide inférieur ou égal à 2 000 kg
30.30.33;Avions et autres aéronefs, d'un poids à vide compris entre 2 000 kg et 15 000 kg
30.30.34;Avions et autres aéronefs, d'un poids à vide supérieur à 15 000 kg
30.30.40;Engins spatiaux (y compris satellites) et lanceurs
30.30.50;Autres parties des aéronefs et engins spatiaux
30.30.60;Révision et transformation d'aéronefs et de moteurs d'aéronefs
30.30.99;Opérations sous-traitées intervenant dans la fabrication d'aéronefs et engins spatiaux
30.40.10;Chars et autres véhicules blindés de combat, et leurs parties
30.40.99;Opérations sous-traitées intervenant dans la fabrication de véhicules militaires de combat
30.91.11;Motocycles et cyclomoteurs à moteur à explosion auxiliaire d'une cylindrée inférieure ou égale à 50 cm³
30.91.12;Motocycles à moteur à explosion d'une cylindrée supérieure à 50 cm³
30.91.13;"Motocycles n.c.a. ; side-cars"
30.91.20;Parties et accessoires pour motocycles et side-cars
30.91.31;Moteurs à explosion pour motocycles, d'une cylindrée inférieure ou égale à 1 000 cm³
30.91.32;Moteurs à explosion pour motocycles, d'une cylindrée supérieure à 1 000 cm³
30.91.99;Opérations sous-traitées intervenant dans la fabrication de motocycles
30.92.10;Bicyclettes et autres cycles, non motorisés
30.92.20;Véhicules pour invalides, à l'exclusion des parties et accessoires
30.92.30;Parties et accessoires pour bicyclettes et autres cycles non motorisés et pour véhicules pour invalides
30.92.40;Landaus et poussettes, et leurs parties
30.92.99;Opérations sous-traitées intervenant dans la fabrication de cycles et véhicules pour invalides
30.99.10;Autres équipements de transport n.c.a.
30.99.99;Opérations sous-traitées intervenant dans la fabrication d'autres équipements de transport n.c.a.
31.00.11;Sièges avec bâti en métal
31.00.12;Sièges avec bâti en bois
31.00.13;Autres sièges
31.00.14;Parties de sièges
31.00.20;Parties de meubles (à l'exclusion des sièges)
31.00.91;Garnissage de sièges
31.00.99;Opérations sous-traitées intervenant dans la fabrication de sièges, de leurs parties et de parties de meubles
31.01.11;Mobilier métallique de bureau
31.01.12;Mobilier de bureau en bois
31.01.13;Mobilier en bois pour magasins
31.01.99;Opérations sous-traitées intervenant dans la fabrication de meubles de bureau et de magasin
31.02.10;Meubles de cuisine
31.02.99;Opérations sous-traitées intervenant dans la fabrication de meubles de cuisine
31.03.11;Sommiers
31.03.12;Matelas
31.03.99;Opérations sous-traitées intervenant dans la fabrication de sommiers et matelas
31.09.11;Meubles métalliques n.c.a.
31.09.12;Meubles en bois pour chambres à coucher, salles à manger ou salles de séjour
31.09.13;Meubles en bois n.c.a.
31.09.14;Meubles en matières plastiques ou autres (bambou, rotin, etc.)
31.09.91;Finition de meubles neufs (à l'exclusion du garnissage des sièges)
31.09.99;Opérations sous-traitées intervenant dans la fabrication d'autres meubles
32.11.10;Monnaies
32.11.99;Opérations sous-traitées intervenant dans la fabrication de monnaies
32.12.11;Perles de culture, pierres précieuses et semi-précieuses, y compris synthétiques ou reconstituées, travaillées mais non montées
32.12.12;"Diamants industriels, travaillés ; poussière et poudres de pierres précieuses et semi-précieuses naturelles ou synthétiques"
32.12.13;"Articles de joaillerie et leurs parties ; articles d'orfèvrerie et leurs parties"
32.12.14;"Autres articles en métaux précieux ; articles de perles naturelles ou de culture et de pierres précieuses ou semi-précieuses"
32.12.99;Opérations sous-traitées intervenant dans la fabrication d'articles de joaillerie et de bijouterie
32.13.10;Articles de bijouterie fantaisie et articles similaires
32.13.99;Opérations sous-traitées intervenant dans la fabrication d'articles de bijouterie fantaisie et d'articles similaires
32.20.11;Pianos et autres instruments à cordes à clavier
32.20.12;Autres instruments à cordes
32.20.13;"Orgues à tuyaux, harmoniums et instruments similaires ; accordéons et instruments similaires ; harmonicas ; instruments à vent"
32.20.14;Instruments de musique électriques et électroniques
32.20.15;Autres instruments de musique
32.20.16;"Métronomes et diapasons ; mécanismes de boîtes à musique ; cordes harmoniques"
32.20.20;Parties et accessoires d'instruments de musique
32.20.99;Opérations sous-traitées intervenant dans la fabrication d'instruments de musique
32.30.11;"Skis et autres équipements pour sports de neige, à l'exclusion des chaussures ; patins à glace et patins à roulettes ; et leurs parties"
32.30.12;Chaussures de ski et de sports de neige
32.30.13;Skis nautiques, planches de surf, planches à voiles et autres matériels pour sports nautiques
32.30.14;Matériels pour la gymnastique, la culture physique ou l'athlétisme
32.30.15;"Autres articles et matériels de sports et de jeux en extérieur ; piscines et pataugeoires"
32.30.16;"Cannes à pêche, autres articles de pêche ; articles pour la chasse ou la pêche n.c.a."
32.30.99;Opérations sous-traitées intervenant dans la fabrication d'articles de sports
32.40.11;Poupées représentant uniquement des êtres humains
32.40.12;Jouets représentant des animaux ou des créatures non humaines
32.40.13;Parties et accessoires pour poupées représentant des êtres humains
32.40.20;"Trains-jouets et accessoires ; autres modèles réduits et jeux de construction"
32.40.31;"Jouets à roues pour enfants ; poussettes et landaus de poupées"
32.40.32;Puzzles
32.40.39;Jeux et jouets n.c.a.
32.40.41;Jeux de cartes
32.40.42;"Articles de billard, jeux de table et de société ; autres jeux, à pièces ou à jetons"
32.40.99;Opérations sous-traitées intervenant dans la fabrication de jeux et jouets
32.50.11;Instruments et appareils utilisés dans les traitements dentaires
32.50.12;Stérilisateurs médicaux, chirurgicaux ou de laboratoire
32.50.13;"Seringues, aiguilles, cathéters, canules et articles similaires ; instruments et appareils ophtalmologiques et autres n.c.a."
32.50.21;"Instruments et appareils thérapeutiques ; appareils respiratoires"
32.50.22;"Articulations artificielles ; appareils orthopédiques ; dents artificielles ; dentiers ; prothèses n.c.a."
32.50.23;Parties et accessoires de prothèses et appareils orthopédiques
32.50.30;"Articles médicaux, chirurgicaux, dentaires ou vétérinaires ; fauteuils de coiffeurs et sièges similaires, et leurs parties"
32.50.41;"Lentilles de contact ; verres de lunettes de tous matériaux"
32.50.42;Lunettes, correctrices, protectrices ou autres
32.50.43;Montures de lunettes ou articles similaires
32.50.44;Parties et accessoires de montures de lunettes
32.50.50;Autres articles utilisés à des fins médicales ou chirurgicales
32.50.99;Opérations sous-traitées intervenant dans la fabrication d'équipements médicaux et chirurgicaux et d'appareils orthopédiques
32.91.11;Balais et brosses pour nettoyage
32.91.12;"Brosses à dents, à cheveux et autres brosses de toilette pour usage personnel ; pinceaux d'artistes, pinceaux à écrire et pinceaux pour le maquillage"
32.91.19;Autres brosses n.c.a.
32.91.99;Opérations sous-traitées intervenant dans la fabrication d'articles de brosserie
32.99.11;Casques de sécurité et autres produits de sécurité
32.99.12;"Stylos ; stylos et marqueurs à feutre ; porte-mines"
32.99.13;"Stylos à dessiner ; stylos à plumes et autres stylos"
32.99.14;"Assortiments d'articles pour écriture, porte-stylos, porte-crayons et articles similaires ; et leurs parties"
32.99.15;Crayons noirs ou de couleur, mines de crayon, pastels, fusains, craies à écrire ou à dessiner et craies de tailleur
32.99.16;"Ardoises et tableaux à écrire ; cachets à dater, sceller ou numéroter et articles similaires ; rubans de machines à écrire et similaires ; tampons encreurs"
32.99.21;"Parapluies, parasols et ombrelles ; cannes, cannes-sièges et articles similaires"
32.99.22;Parties, garnitures et accessoires pour parapluies, parasols, ombrelles, cannes, cannes-sièges et articles similaires
32.99.23;"Boutons-pression et leurs parties ; boutons ; fermetures à glissière"
32.99.24;"Formes pour boutons et autres parties de boutons ; ébauches de boutons ; parties de fermetures à glissière"
32.99.30;"Produits en cheveux ou en poils d'animaux ; articles similaires en matières textiles"
32.99.41;"Briquets et autres allumeurs ; pipes, fume-cigare et fume-cigarette, et leurs parties"
32.99.42;"Parties de briquets ; alliages pyrophoriques ; articles en matières combustibles"
32.99.43;Recharges de gaz liquide ou liquéfié pour briquets, d'une capacité inférieure ou égale à 300 cm³
32.99.51;Articles pour fêtes et divertissements, y compris matériel de prestidigitation et farces et attrapes
32.99.52;Vaporisateurs de toilette, leurs montures et têtes de montures
32.99.53;Matériels de démonstration
32.99.54;Bougies, chandelles, cierges et articles similaires
32.99.55;Fleurs, feuillages et fruits artificiels, et leurs parties
32.99.59;Autres articles divers n.c.a.
32.99.60;Travaux de taxidermie
32.99.99;Opérations sous-traitées intervenant dans la fabrication d'autres produits manufacturés n.c.a.
33.11.11;Réparation et entretien de structures métalliques
33.11.12;Réparation et entretien de réservoirs, citernes et conteneurs métalliques
33.11.13;Réparation et entretien de générateurs de vapeur, à l'exclusion des chaudières pour chauffage central
33.11.14;Réparation et entretien d'armes et de munitions
33.11.19;Réparation et entretien d'autres ouvrages en métaux
33.12.11;Réparation et entretien de moteurs et turbines, à l'exclusion des moteurs pour avions, automobiles et motocycles
33.12.12;Réparation et entretien d'équipements hydrauliques et pneumatiques, d'autres pompes, compresseurs et articles de robinetterie
33.12.13;Réparation et entretien d'engrenages et d'organes mécaniques de transmission
33.12.14;Réparation et entretien de fours et brûleurs
33.12.15;Réparation et entretien d'équipements de levage et de manutention
33.12.16;Réparation et entretien de machines et d'équipements de bureau (à l'exclusion des ordinateurs et équipements périphériques)
33.12.17;Réparation et entretien d'outillage portatif à moteur incorporé
33.12.18;Réparation et entretien d'équipements aérauliques et frigorifiques industriels
33.12.19;Réparation et entretien d'autres machines et équipements mécaniques d'usage général n.c.a.
33.12.21;Réparation et entretien de machines agricoles et forestières
33.12.22;Réparation et entretien de machines de formage des métaux et de machines-outils
33.12.23;Réparation et entretien de machines pour la métallurgie
33.12.24;Réparation et entretien de matériels pour l'extraction ou la construction
33.12.25;Réparation et entretien de machines pour l'industrie agroalimentaire
33.12.26;Réparation et entretien de machines pour les industries textiles
33.12.27;Réparation et entretien de machines pour les industries du papier et du carton
33.12.28;Réparation et entretien de machines pour le travail du caoutchouc ou des matières plastiques
33.12.29;Réparation et entretien d'autres machines et équipements mécaniques d'usage spécifique
33.13.11;Réparation et entretien d'instruments et d'appareils de mesure, d'essai et de navigation
33.13.12;Réparation et entretien d'équipements d'irradiation médicale, d'équipements, électromédicaux et électrothérapeutiques
33.13.13;Réparation et entretien de matériel optique et photographique professionnel
33.13.19;Réparation et entretien d'autres équipements électroniques professionnels
33.14.11;Réparation et entretien de moteurs, génératrices et transformateurs électriques et de matériel de distribution et de commande électrique
33.14.19;Réparation et entretien d'autres équipements électriques professionnels
33.15.10;Réparation et entretien de navires et bateaux
33.16.10;Réparation et entretien d'aéronefs et d'engins spatiaux
33.17.11;Réparation et entretien de matériel ferroviaire roulant
33.17.19;Réparation et entretien d'autres matériels de transport n.c.a.
33.19.10;Réparation d'autres équipements
33.20.11;Installation de générateurs de vapeur, à l'exclusion des chaudières pour le chauffage central, y compris l'installation de tuyauterie métallique dans des établissements industriels
33.20.12;Installation d'autres ouvrages métalliques, à l'exclusion de machines et d'équipements
33.20.21;Installation de machines de bureau et comptables
33.20.29;Installation d'autres machines d'usage général n.c.a.
33.20.31;Installation de machines et d'équipements industriels pour l'agriculture
33.20.32;Installation de machines de formage des métaux
33.20.33;Installation de machines et d'équipements industriels pour la métallurgie
33.20.34;Installation de machines et d'équipements industriels pour l'extraction
33.20.35;Installation de machines et d'équipements industriels pour l'industrie agroalimentaire
33.20.36;Installation de machines et d'équipements industriels pour les industries textiles
33.20.37;Installation de machines et d'équipements industriels pour les industries du papier et du carton
33.20.38;Installation de machines et d'équipements industriels pour le travail du caoutchouc ou des matières plastiques
33.20.39;Installation d'autres machines d'usage spécifique
33.20.41;Installation de machines médicales professionnelles et d'instruments de précision et d'optique
33.20.42;Installation de matériels électroniques professionnels
33.20.50;Installation d'équipements électriques
33.20.60;Installation d'équipements de contrôle automatique de processus industriels
33.20.70;Installation d'autres produits n.c.a.
35.11.10;Électricité
35.12.10;Transport d'électricité
35.13.10;Distribution d'électricité
35.14.10;Commerce de l'électricité
35.21.10;Gaz de houille, gaz à l'eau, gaz de gazogène et gaz similaires, autres que gaz de pétrole
35.22.10;Distribution de combustibles gazeux par conduites
35.23.10;Commerce du gaz par conduites
35.30.11;Vapeur et eau chaude
35.30.12;Production et distribution de vapeur et d'eau chaude par réseau
35.30.21;Glace, y compris glace pour usages frigorifiques (non alimentaires)
35.30.22;Production et distribution d'air et d'eau refroidis
36.00.11;Eau potable
36.00.12;Eaux non potables
36.00.20;Traitement et distribution de l'eau par conduites
36.00.30;Commerce de l'eau par conduites
37.00.11;Évacuation et traitement des eaux usées
37.00.12;Vidange et nettoyage des puisards et fosses septiques
37.00.20;Boues d'épuration
38.11.11;Collecte des déchets municipaux recyclables non dangereux
38.11.19;Collecte des autres déchets recyclables non dangereux
38.11.21;Collecte des déchets municipaux non recyclables non dangereux
38.11.29;Collecte des autres déchets non recyclables non dangereux
38.11.31;Déchets municipaux non recyclables non dangereux
38.11.39;Autres déchets non recyclables non dangereux
38.11.41;Navires et autres structures flottantes, à démolir
38.11.49;Véhicules automobiles, ordinateurs, téléviseurs et autres matériels obsolètes à démanteler
38.11.51;Déchets de verre
38.11.52;Déchets de papiers et cartons
38.11.53;Pneumatiques usagés
38.11.54;Autres déchets de caoutchouc
38.11.55;Déchets de matières plastiques
38.11.56;Déchets de matières textiles
38.11.57;Déchets de cuir
38.11.58;Déchets métalliques non dangereux
38.11.59;Autres déchets recyclables non dangereux n.c.a.
38.11.61;Services des installations de transfert de déchets recyclables non dangereux
38.11.69;Services des installations de transfert d'autres déchets non dangereux
38.12.11;Collecte de déchets médicaux dangereux et d'autres déchets biologiques dangereux
38.12.12;Collecte d'autres déchets industriels dangereux
38.12.13;Collecte des déchets municipaux dangereux
38.12.21;Combustibles nucléaires irradiés
38.12.22;Déchets pharmaceutiques
38.12.23;Autres déchets médicaux dangereux
38.12.24;Déchets chimiques dangereux
38.12.25;Huiles usagées
38.12.26;Déchets métalliques dangereux
